imname	RA	DEC	EXPTIME
Q05F1V1	13:44:19	-12:52:06	300
Q05F2V1	13:44:16	-14:50:30	300
Q05F3V1	13:44:12	-16:48:53	300
Q05F4V1	13:50:52	-17:46:05	300
Q05F5V1	13:50:52	-15:49:42	300
Q05F6V1	13:50:52	-13:51:18	300
Q05F7V1	13:57:25	-12:52:06	300
Q05F8V1	13:57:28	-14:50:30	300
Q05F9V1	13:57:32	-16:48:53	300
Q05F1V2	13:44:19	-12:52:06	300
Q05F2V2	13:44:16	-14:50:30	300
Q05F3V2	13:44:12	-16:48:53	300
Q05F4V2	13:50:52	-17:46:05	300
Q05F5V2	13:50:52	-15:49:42	300
Q05F6V2	13:50:52	-13:51:18	300
Q05F7V2	13:57:25	-12:52:06	300
Q05F8V2	13:57:28	-14:50:30	300
Q05F9V2	13:57:32	-16:48:53	300
Q05F1V3	13:44:19	-12:52:06	300
Q05F2V3	13:44:16	-14:50:30	300
Q05F3V3	13:44:12	-16:48:53	300
Q05F4V3	13:50:52	-17:46:05	300
Q05F5V3	13:50:52	-15:49:42	300
Q05F6V3	13:50:52	-13:51:18	300
Q05F7V3	13:57:25	-12:52:06	300
Q05F8V3	13:57:28	-14:50:30	300
Q05F9V3	13:57:32	-16:48:53	300
SLEW_QX_QY	13:57:32	-16:48:53	60
