imname	RA	DEC	EXPTIME
Q01F1V1	14:50:22	-12:52:06	300
Q01F2V1	14:50:18	-14:50:30	300
Q01F3V1	14:50:14	-16:48:53	300
Q01F4V1	14:56:54	-17:46:05	300
Q01F5V1	14:56:54	-15:49:42	300
Q01F6V1	14:56:54	-13:51:18	300
Q01F7V1	15:03:27	-12:52:06	300
Q01F8V1	15:03:31	-14:50:30	300
Q01F9V1	15:03:35	-16:48:53	300
Q01F1V2	14:50:22	-12:52:06	300
Q01F2V2	14:50:18	-14:50:30	300
Q01F3V2	14:50:14	-16:48:53	300
Q01F4V2	14:56:54	-17:46:05	300
Q01F5V2	14:56:54	-15:49:42	300
Q01F6V2	14:56:54	-13:51:18	300
Q01F7V2	15:03:27	-12:52:06	300
Q01F8V2	15:03:31	-14:50:30	300
Q01F9V2	15:03:35	-16:48:53	300
Q01F1V3	14:50:22	-12:52:06	300
Q01F2V3	14:50:18	-14:50:30	300
Q01F3V3	14:50:14	-16:48:53	300
Q01F4V3	14:56:54	-17:46:05	300
Q01F5V3	14:56:54	-15:49:42	300
Q01F6V3	14:56:54	-13:51:18	300
Q01F7V3	15:03:27	-12:52:06	300
Q01F8V3	15:03:31	-14:50:30	300
Q01F9V3	15:03:35	-16:48:53	300
SLEW_QX_QY	15:03:35	-16:48:53	60
