imname	RA	DEC	EXPTIME
QL4_0425F1V1	22:14:39	-08:20:53	40
QL4_0425F2V1	22:14:37	-10:17:17	40
QL4_0425F3V1	22:14:34	-12:15:42	40
QL4_0425F4V1	22:21:06	-13:14:53	40
QL4_0425F5V1	22:21:06	-11:16:29	40
QL4_0425F6V1	22:21:06	-09:18:05	40
QL4_0425F7V1	22:27:33	-08:20:53	40
QL4_0425F8V1	22:27:35	-10:17:17	40
QL4_0425F9V1	22:27:38	-12:15:42	40
QL4_0425F1V2	22:14:39	-08:20:53	40
QL4_0425F2V2	22:14:37	-10:17:17	40
QL4_0425F3V2	22:14:34	-12:15:42	40
QL4_0425F4V2	22:21:06	-13:14:53	40
QL4_0425F5V2	22:21:06	-11:16:29	40
QL4_0425F6V2	22:21:06	-09:18:05	40
QL4_0425F7V2	22:27:33	-08:20:53	40
QL4_0425F8V2	22:27:35	-10:17:17	40
QL4_0425F9V2	22:27:38	-12:15:42	40
QL4_0425F1V3	22:14:39	-08:20:53	40
QL4_0425F2V3	22:14:37	-10:17:17	40
QL4_0425F3V3	22:14:34	-12:15:42	40
QL4_0425F4V3	22:21:06	-13:14:53	40
QL4_0425F5V3	22:21:06	-11:16:29	40
QL4_0425F6V3	22:21:06	-09:18:05	40
QL4_0425F7V3	22:27:33	-08:20:53	40
QL4_0425F8V3	22:27:35	-10:17:17	40
QL4_0425F9V3	22:27:38	-12:15:42	40
QL4_0425F1V4	22:14:39	-08:20:53	40
QL4_0425F2V4	22:14:37	-10:17:17	40
QL4_0425F3V4	22:14:34	-12:15:42	40
QL4_0425F4V4	22:21:06	-13:14:53	40
QL4_0425F5V4	22:21:06	-11:16:29	40
QL4_0425F6V4	22:21:06	-09:18:05	40
QL4_0425F7V4	22:27:33	-08:20:53	40
QL4_0425F8V4	22:27:35	-10:17:17	40
QL4_0425F9V4	22:27:38	-12:15:42	40
QL4_0425F1V5	22:14:39	-08:20:53	40
QL4_0425F2V5	22:14:37	-10:17:17	40
QL4_0425F3V5	22:14:34	-12:15:42	40
QL4_0425F4V5	22:21:06	-13:14:53	40
QL4_0425F5V5	22:21:06	-11:16:29	40
QL4_0425F6V5	22:21:06	-09:18:05	40
QL4_0425F7V5	22:27:33	-08:20:53	40
QL4_0425F8V5	22:27:35	-10:17:17	40
QL4_0425F9V5	22:27:38	-12:15:42	40
SLEW_QX_QY	22:27:38	-12:15:42	60
