imname	RA	DEC	EXPTIME
Q09F1V1	23:03:48	-09:58:35	40
Q09F4V1	23:03:47	-11:56:59	40
Q09F3V1	23:10:19	-12:54:11	40
Q09F2V1	23:10:18	-10:57:47	40
Q09F1V2	23:03:48	-09:58:35	40
Q09F4V2	23:03:47	-11:56:59	40
Q09F3V2	23:10:19	-12:54:11	40
Q09F2V2	23:10:18	-10:57:47	40
Q09F1V3	23:03:48	-09:58:35	40
Q09F4V3	23:03:47	-11:56:59	40
Q09F3V3	23:10:19	-12:54:11	40
Q09F2V3	23:10:18	-10:57:47	40
Q09F1V4	23:03:48	-09:58:35	40
Q09F4V4	23:03:47	-11:56:59	40
Q09F3V4	23:10:19	-12:54:11	40
Q09F2V4	23:10:18	-10:57:47	40
Q09F1V5	23:03:48	-09:58:35	40
Q09F4V5	23:03:47	-11:56:59	40
Q09F3V5	23:10:19	-12:54:11	40
Q09F2V5	23:10:18	-10:57:47	40
SLEW_QX_QY	23:10:18	-10:57:47	60
