imname	RA	DEC	EXPTIME
N20140422F81V1	14:32:43	-01:20:09	40
N20140422F82V1	14:32:43	-03:18:33	40
N20140422F83V1	14:39:07	-04:17:45	40
N20140422F84V1	14:39:06	-02:19:21	40
N20140422F81V2	14:32:43	-01:20:09	40
N20140422F82V2	14:32:43	-03:18:33	40
N20140422F83V2	14:39:07	-04:17:45	40
N20140422F84V2	14:39:06	-02:19:21	40
N20140422F81V3	14:32:43	-01:20:09	40
N20140422F82V3	14:32:43	-03:18:33	40
N20140422F83V3	14:39:07	-04:17:45	40
N20140422F84V3	14:39:06	-02:19:21	40
N20140422F81V4	14:32:43	-01:20:09	40
N20140422F82V4	14:32:43	-03:18:33	40
N20140422F83V4	14:39:07	-04:17:45	40
N20140422F84V4	14:39:06	-02:19:21	40
N20140422F81V5	14:32:43	-01:20:09	40
N20140422F82V5	14:32:43	-03:18:33	40
N20140422F83V5	14:39:07	-04:17:45	40
N20140422F84V5	14:39:06	-02:19:21	40
SLEW_QX_QY	14:39:06	-02:19:21	60
