imname	RA	DEC	EXPTIME
N20140422Q28F109V1	14:07:48	-10:56:54	40
N20140422Q28F110V1	14:07:47	-12:53:18	40
N20140422Q28F111V1	14:14:20	-13:52:30	40
N20140422Q28F112V1	14:14:19	-11:54:06	40
N20140422Q28F109V2	14:07:48	-10:56:54	40
N20140422Q28F110V2	14:07:47	-12:53:18	40
N20140422Q28F111V2	14:14:20	-13:52:30	40
N20140422Q28F112V2	14:14:19	-11:54:06	40
N20140422Q28F109V3	14:07:48	-10:56:54	40
N20140422Q28F110V3	14:07:47	-12:53:18	40
N20140422Q28F111V3	14:14:20	-13:52:30	40
N20140422Q28F112V3	14:14:19	-11:54:06	40
N20140422Q28F109V4	14:07:48	-10:56:54	40
N20140422Q28F110V4	14:07:47	-12:53:18	40
N20140422Q28F111V4	14:14:20	-13:52:30	40
N20140422Q28F112V4	14:14:19	-11:54:06	40
N20140422Q28F109V5	14:07:48	-10:56:54	40
N20140422Q28F110V5	14:07:47	-12:53:18	40
N20140422Q28F111V5	14:14:20	-13:52:30	40
N20140422Q28F112V5	14:14:19	-11:54:06	40
SLEW_QX_QY	14:14:19	-11:54:06	60
