imname	RA	DEC	EXPTIME
S38F1V1	14:44:39	-44:55:59	40
S38F4V1	14:44:30	-46:52:24	40
S38F3V1	14:53:55	-47:51:35	40
S38F2V1	14:53:45	-45:53:11	40
S38F1V2	14:44:39	-44:55:59	40
S38F4V2	14:44:30	-46:52:24	40
S38F3V2	14:53:55	-47:51:35	40
S38F2V2	14:53:45	-45:53:11	40
S38F1V3	14:44:39	-44:55:59	40
S38F4V3	14:44:30	-46:52:24	40
S38F3V3	14:53:55	-47:51:35	40
S38F2V3	14:53:45	-45:53:11	40
S38F1V4	14:44:39	-44:55:59	40
S38F4V4	14:44:30	-46:52:24	40
S38F3V4	14:53:55	-47:51:35	40
S38F2V4	14:53:45	-45:53:11	40
S38F1V5	14:44:39	-44:55:59	40
S38F4V5	14:44:30	-46:52:24	40
S38F3V5	14:53:55	-47:51:35	40
S38F2V5	14:53:45	-45:53:11	40
SLEW_QX_QY	14:53:45	-45:53:11	60
