imname	RA	DEC	EXPTIME
Q11F1V1	22:20:41	-11:37:2	40
Q11F4V1	22:20:40	-13:35:4	40
Q11F3V1	22:27:15	-14:34:5	40
Q11F2V1	22:27:13	-12:36:3	40
Q11F1V2	22:20:41	-11:37:2	40
Q11F4V2	22:20:40	-13:35:4	40
Q11F3V2	22:27:15	-14:34:5	40
Q11F2V2	22:27:13	-12:36:3	40
Q11F1V3	22:20:41	-11:37:2	40
Q11F4V3	22:20:40	-13:35:4	40
Q11F3V3	22:27:15	-14:34:5	40
Q11F2V3	22:27:13	-12:36:3	40
Q11F1V4	22:20:41	-11:37:2	40
Q11F4V4	22:20:40	-13:35:4	40
Q11F3V4	22:27:15	-14:34:5	40
Q11F2V4	22:27:13	-12:36:3	40
Q11F1V5	22:20:41	-11:37:2	40
Q11F4V5	22:20:40	-13:35:4	40
Q11F3V5	22:27:15	-14:34:5	40
Q11F2V5	22:27:13	-12:36:3	40
SLEW_QX_QY	22:27:13	-12:36:3	60
