N20140422Q1F1V1	13:31:16	00:07:18	40	3.361	2014-04-22T23:31:10
N20140422Q1F2V1	13:31:16	-01:51:42	40	3.139	2014-04-22T23:32:20
N20140422Q1F3V1	13:37:40	-02:50:54	40	3.241	2014-04-22T23:33:30
N20140422Q1F4V1	13:37:39	-00:52:30	40	3.379	2014-04-22T23:34:40
N20140422Q1F1V2	13:31:16	00:07:18	40	3.187	2014-04-22T23:35:50
N20140422Q1F2V2	13:31:16	-01:51:42	40	2.986	2014-04-22T23:37:00
N20140422Q1F3V2	13:37:40	-02:50:54	40	3.077	2014-04-22T23:38:10
N20140422Q1F4V2	13:37:39	-00:52:30	40	3.201	2014-04-22T23:39:20
N20140422Q1F1V3	13:31:16	00:07:18	40	3.030	2014-04-22T23:40:30
N20140422Q1F2V3	13:31:16	-01:51:42	40	2.848	2014-04-22T23:41:40
N20140422Q1F3V3	13:37:40	-02:50:54	40	2.930	2014-04-22T23:42:50
N20140422Q1F4V3	13:37:39	-00:52:30	40	3.043	2014-04-22T23:44:00
N20140422Q1F1V4	13:31:16	00:07:18	40	2.889	2014-04-22T23:45:10
N20140422Q1F2V4	13:31:16	-01:51:42	40	2.724	2014-04-22T23:46:20
N20140422Q1F3V4	13:37:40	-02:50:54	40	2.797	2014-04-22T23:47:30
N20140422Q1F4V4	13:37:39	-00:52:30	40	2.900	2014-04-22T23:48:40
N20140422Q1F1V5	13:31:16	00:07:18	40	2.762	2014-04-22T23:49:50
N20140422Q1F2V5	13:31:16	-01:51:42	40	2.610	2014-04-22T23:51:00
N20140422Q1F3V5	13:37:40	-02:50:54	40	2.677	2014-04-22T23:52:10
N20140422Q1F4V5	13:37:39	-00:52:30	40	2.771	2014-04-22T23:53:20
SLEW_QX_QY	13:37:39	-00:52:30	60	2.732	2014-04-22T23:54:50
N20140422Q2F5V1	13:31:08	-03:34:30	40	2.411	2014-04-22T23:56:00
N20140422Q2F6V1	13:31:08	-05:32:54	40	2.300	2014-04-22T23:57:10
N20140422Q2F7V1	13:37:33	-06:30:06	40	2.355	2014-04-22T23:58:20
N20140422Q2F8V1	13:37:32	-04:33:42	40	2.420	2014-04-22T23:59:30
N20140422Q2F5V2	13:31:08	-03:34:30	40	2.323	2014-04-23T00:00:40
N20140422Q2F6V2	13:31:08	-05:32:54	40	2.221	2014-04-23T00:01:50
N20140422Q2F7V2	13:37:33	-06:30:06	40	2.271	2014-04-23T00:03:00
N20140422Q2F8V2	13:37:32	-04:33:42	40	2.332	2014-04-23T00:04:10
N20140422Q2F5V3	13:31:08	-03:34:30	40	2.243	2014-04-23T00:05:20
N20140422Q2F6V3	13:31:08	-05:32:54	40	2.148	2014-04-23T00:06:30
N20140422Q2F7V3	13:37:33	-06:30:06	40	2.193	2014-04-23T00:07:40
N20140422Q2F8V3	13:37:32	-04:33:42	40	2.250	2014-04-23T00:08:50
N20140422Q2F5V4	13:31:08	-03:34:30	40	2.169	2014-04-23T00:10:00
N20140422Q2F6V4	13:31:08	-05:32:54	40	2.080	2014-04-23T00:11:10
N20140422Q2F7V4	13:37:33	-06:30:06	40	2.122	2014-04-23T00:12:20
N20140422Q2F8V4	13:37:32	-04:33:42	40	2.175	2014-04-23T00:13:30
N20140422Q2F5V5	13:31:08	-03:34:30	40	2.100	2014-04-23T00:14:40
N20140422Q2F6V5	13:31:08	-05:32:54	40	2.016	2014-04-23T00:15:50
N20140422Q2F7V5	13:37:33	-06:30:06	40	2.055	2014-04-23T00:17:00
N20140422Q2F8V5	13:37:32	-04:33:42	40	2.105	2014-04-23T00:18:10
SLEW_QX_QY	13:37:32	-04:33:42	60	2.084	2014-04-23T00:19:40
N20140422Q3F9V1	13:30:48	-07:15:42	40	1.901	2014-04-23T00:20:50
N20140422Q3F10V1	13:30:47	-09:12:06	40	1.837	2014-04-23T00:22:00
N20140422Q3F11V1	13:37:16	-10:11:18	40	1.870	2014-04-23T00:23:10
N20140422Q3F12V1	13:37:15	-08:14:54	40	1.907	2014-04-23T00:24:20
N20140422Q3F9V2	13:30:48	-07:15:42	40	1.849	2014-04-23T00:25:30
N20140422Q3F10V2	13:30:47	-09:12:06	40	1.789	2014-04-23T00:26:40
N20140422Q3F11V2	13:37:16	-10:11:18	40	1.820	2014-04-23T00:27:50
N20140422Q3F12V2	13:37:15	-08:14:54	40	1.855	2014-04-23T00:29:00
N20140422Q3F9V3	13:30:48	-07:15:42	40	1.801	2014-04-23T00:30:10
N20140422Q3F10V3	13:30:47	-09:12:06	40	1.745	2014-04-23T00:31:20
N20140422Q3F11V3	13:37:16	-10:11:18	40	1.773	2014-04-23T00:32:30
N20140422Q3F12V3	13:37:15	-08:14:54	40	1.807	2014-04-23T00:33:40
N20140422Q3F9V4	13:30:48	-07:15:42	40	1.756	2014-04-23T00:34:50
N20140422Q3F10V4	13:30:47	-09:12:06	40	1.703	2014-04-23T00:36:00
N20140422Q3F11V4	13:37:16	-10:11:18	40	1.729	2014-04-23T00:37:10
N20140422Q3F12V4	13:37:15	-08:14:54	40	1.761	2014-04-23T00:38:20
N20140422Q3F9V5	13:30:48	-07:15:42	40	1.714	2014-04-23T00:39:30
N20140422Q3F10V5	13:30:47	-09:12:06	40	1.664	2014-04-23T00:40:40
N20140422Q3F11V5	13:37:16	-10:11:18	40	1.688	2014-04-23T00:41:50
N20140422Q3F12V5	13:37:15	-08:14:54	40	1.718	2014-04-23T00:43:00
SLEW_QX_QY	13:37:15	-08:14:54	60	1.705	2014-04-23T00:44:30
N20140422Q4F13V1	13:30:17	-10:56:54	40	1.589	2014-04-23T00:45:40
N20140422Q4F14V1	13:30:15	-12:53:18	40	1.549	2014-04-23T00:46:50
N20140422Q4F15V1	13:36:49	-13:52:30	40	1.572	2014-04-23T00:48:00
N20140422Q4F16V1	13:36:47	-11:54:06	40	1.595	2014-04-23T00:49:10
N20140422Q4F13V2	13:30:17	-10:56:54	40	1.556	2014-04-23T00:50:20
N20140422Q4F14V2	13:30:15	-12:53:18	40	1.518	2014-04-23T00:51:30
N20140422Q4F15V2	13:36:49	-13:52:30	40	1.539	2014-04-23T00:52:40
N20140422Q4F16V2	13:36:47	-11:54:06	40	1.561	2014-04-23T00:53:50
N20140422Q4F13V3	13:30:17	-10:56:54	40	1.525	2014-04-23T00:55:00
N20140422Q4F14V3	13:30:15	-12:53:18	40	1.489	2014-04-23T00:56:10
N20140422Q4F15V3	13:36:49	-13:52:30	40	1.509	2014-04-23T00:57:20
