imname	RA	DEC	EXPTIME
Q8F1V1	13:33:09	-26:17:49	40
Q8F2V1	13:33:05	-28:14:13	40
Q8F3V1	13:40:22	-29:13:25	40
Q8F4V1	13:40:18	-27:15:01	40
Q8F1V2	13:33:09	-26:17:49	40
Q8F2V2	13:33:05	-28:14:13	40
Q8F3V2	13:40:22	-29:13:25	40
Q8F4V2	13:40:18	-27:15:01	40
Q8F1V3	13:33:09	-26:17:49	40
Q8F2V3	13:33:05	-28:14:13	40
Q8F3V3	13:40:22	-29:13:25	40
Q8F4V3	13:40:18	-27:15:01	40
Q8F1V4	13:33:09	-26:17:49	40
Q8F2V4	13:33:05	-28:14:13	40
Q8F3V4	13:40:22	-29:13:25	40
Q8F4V4	13:40:18	-27:15:01	40
Q8F1V5	13:33:09	-26:17:49	40
Q8F2V5	13:33:05	-28:14:13	40
Q8F3V5	13:40:22	-29:13:25	40
Q8F4V5	13:40:18	-27:15:01	40
SLEW_QX_QY	13:40:18	-27:15:01	60
