UTC	Airmass
2014-04-23 23:00:00	13.333
2014-04-23 23:30:00	8.533
2014-04-24 00:00:00	4.505
2014-04-24 00:30:00	3.068
2014-04-24 01:00:00	2.356
2014-04-24 01:30:00	1.940
2014-04-24 02:00:00	1.674
2014-04-24 02:30:00	1.496
2014-04-24 03:00:00	1.375
2014-04-24 03:30:00	1.294
2014-04-24 04:00:00	1.242
2014-04-24 04:30:00	1.216
2014-04-24 05:00:00	1.212
2014-04-24 05:30:00	1.229
2014-04-24 06:00:00	1.271
2014-04-24 06:30:00	1.340
2014-04-24 07:00:00	1.445
2014-04-24 07:30:00	1.598
2014-04-24 08:00:00	1.825
2014-04-24 08:30:00	2.173
2014-04-24 09:00:00	2.745
2014-04-24 09:30:00	3.816
2014-04-24 10:00:00	6.386
2014-04-24 10:30:00	13.333
2014-04-24 11:00:00	13.333
2014-04-24 11:30:00	13.333
2014-04-24 12:00:00	13.333
2014-04-24 12:30:00	13.333
