UTC	Airmass
2014-04-29 22:30:00	5.518
2014-04-29 23:00:00	3.503
2014-04-29 23:30:00	2.570
2014-04-30 00:00:00	2.044
2014-04-30 00:30:00	1.712
2014-04-30 01:00:00	1.488
2014-04-30 01:30:00	1.331
2014-04-30 02:00:00	1.219
2014-04-30 02:30:00	1.138
2014-04-30 03:00:00	1.082
2014-04-30 03:30:00	1.044
2014-04-30 04:00:00	1.024
2014-04-30 04:30:00	1.018
2014-04-30 05:00:00	1.027
2014-04-30 05:30:00	1.051
2014-04-30 06:00:00	1.092
2014-04-30 06:30:00	1.154
2014-04-30 07:00:00	1.241
2014-04-30 07:30:00	1.362
2014-04-30 08:00:00	1.532
2014-04-30 08:30:00	1.775
2014-04-30 09:00:00	2.141
2014-04-30 09:30:00	2.733
2014-04-30 10:00:00	3.819
2014-04-30 10:30:00	6.328
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
